,,,,,,,,,Lugar de grado
Instituciones,Programa,Sexo,Periodo graduación,Año de corte,Tipo de cotizante,Sector económico,17 Rangos salariales,7 Rangos salariales,País
Código institución,Código programa,Sexo,Semestre,Año,Tipo de cotizante,Sección,17 Rangos salariales,7 Rangos salariales,Colombia
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2018,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2018,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2019,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2019,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2019,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2020,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2020,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2020,Dependiente,Otras actividades de servicios,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2021,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
2732-Fundación Universitaria Católica del Norte,9809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2021,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
