Fecha,Tiempo de reproducción (horas)
2022-05-14,148.8715
2022-05-15,158.2762
2022-05-16,154.2506
2022-05-17,132.9904
2022-05-18,138.9563
2022-05-19,142.7769
2022-05-20,126.7063
2022-05-21,123.8686
2022-05-22,136.3093
2022-05-23,135.2478
2022-05-24,136.8735
2022-05-25,88.1322
2022-05-26,126.8197
2022-05-27,94.7874
2022-05-28,62.396
2022-05-29,84.9927
2022-05-30,117.264
2022-05-31,111.2144
2022-06-01,123.2413
2022-06-02,94.4735
2022-06-03,83.0601
2022-06-04,91.1908
2022-06-05,92.4807
2022-06-06,116.3057
2022-06-07,65.1157
2022-06-08,82.5003
2022-06-09,89.6766
2022-06-10,67.9337
2022-06-11,76.6132
2022-06-12,91.0434
2022-06-13,113.5326
2022-06-14,80.8161
2022-06-15,78.6858
2022-06-16,87.1909
2022-06-17,75.8309
2022-06-18,150.9844
2022-06-19,115.197
2022-06-20,214.7895
2022-06-21,197.4433
2022-06-22,175.1113
2022-06-23,106.8657
2022-06-24,121.4771
2022-06-25,145.1226
2022-06-26,104.7541
2022-06-27,135.5756
2022-06-28,112.5865
2022-06-29,125.605
2022-06-30,98.835
2022-07-01,109.9349
2022-07-02,108.072
2022-07-03,100.1631
2022-07-04,139.5428
2022-07-05,90.2348
2022-07-06,77.4618
2022-07-07,78.2086
2022-07-08,72.4789
2022-07-09,60.3079
2022-07-10,81.5262
2022-07-11,95.1455
2022-07-12,86.5087
2022-07-13,74.6711
2022-07-14,74.5457
2022-07-15,71.9292
2022-07-16,62.3385
2022-07-17,64.1809
2022-07-18,69.0854
2022-07-19,92.4488
2022-07-20,114.9266
2022-07-21,91.3834
2022-07-22,76.3017
2022-07-23,62.4092
2022-07-24,88.7598
2022-07-25,96.1578
2022-07-26,120.5002
2022-07-27,160.3923
2022-07-28,139.8666
2022-07-29,103.9411
2022-07-30,78.1205
2022-07-31,125.7134
2022-08-01,126.348
2022-08-02,92.4836
2022-08-03,97.3711
2022-08-04,77.3473
2022-08-05,77.804
2022-08-06,69.8767
2022-08-07,109.8152
2022-08-08,95.6632
2022-08-09,95.6254
2022-08-10,98.8881
2022-08-11,69.0731
2022-08-12,51.5446
2022-08-13,80.6122
2022-08-14,106.4481
2022-08-15,115.8622
2022-08-16,72.6426
2022-08-17,73.6599
2022-08-18,81.279
2022-08-19,76.6245
2022-08-20,82.6065
2022-08-21,82.9725
2022-08-22,84.3895
2022-08-23,88.4745
2022-08-24,105.6274
2022-08-25,121.2569
2022-08-26,66.5932
2022-08-27,71.4895
2022-08-28,98.2315
2022-08-29,98.7916
2022-08-30,86.1939
2022-08-31,67.8556
2022-09-01,87.5077
2022-09-02,91.8793
2022-09-03,119.5751
2022-09-04,136.5877
2022-09-05,111.9007
2022-09-06,117.3764
2022-09-07,70.7955
2022-09-08,84.9862
2022-09-09,68.8678
2022-09-10,116.9203
2022-09-11,138.8544
2022-09-12,105.5807
2022-09-13,124.3215
2022-09-14,88.7328
2022-09-15,144.016
2022-09-16,158.356
2022-09-17,139.0266
2022-09-18,144.3796
2022-09-19,139.2227
2022-09-20,182.3518
2022-09-21,188.1766
2022-09-22,243.7324
2022-09-23,209.9875
2022-09-24,236.955
2022-09-25,352.4695
2022-09-26,304.7168
2022-09-27,288.5181
2022-09-28,299.602
2022-09-29,267.6019
2022-09-30,228.2768
2022-10-01,197.0194
2022-10-02,190.7677
2022-10-03,207.8748
2022-10-04,167.1279
2022-10-05,168.3275
2022-10-06,219.9621
2022-10-07,235.1603
2022-10-08,218.7656
2022-10-09,306.0909
2022-10-10,187.3393
2022-10-11,186.1468
2022-10-12,173.0437
2022-10-13,283.2337
2022-10-14,229.5694
2022-10-15,269.6792
2022-10-16,350.0323
2022-10-17,351.5377
2022-10-18,304.9031
2022-10-19,271.228
2022-10-20,182.9618
2022-10-21,198.7143
2022-10-22,216.3447
2022-10-23,184.4799
2022-10-24,137.942
2022-10-25,136.077
2022-10-26,187.5389
2022-10-27,144.3456
2022-10-28,150.9464
2022-10-29,173.8943
2022-10-30,204.0737
2022-10-31,169.321
2022-11-01,170.6658
2022-11-02,205.274
2022-11-03,243.645
2022-11-04,219.7668
2022-11-05,163.4803
2022-11-06,175.911
2022-11-07,217.3187
2022-11-08,186.6345
2022-11-09,206.3882
2022-11-10,223.152
2022-11-11,234.7433
2022-11-12,188.4478
2022-11-13,220.0549
2022-11-14,275.6185
2022-11-15,234.3304
2022-11-16,177.5517
2022-11-17,170.9864
2022-11-18,163.7177
2022-11-19,148.8266
2022-11-20,136.2771
2022-11-21,157.0948
2022-11-22,107.6181
2022-11-23,124.236
2022-11-24,128.1846
2022-11-25,106.376
2022-11-26,121.0615
2022-11-27,191.8758
2022-11-28,124.902
2022-11-29,122.6452
2022-11-30,105.919
2022-12-01,130.2841
2022-12-02,134.9975
2022-12-03,168.2232
2022-12-04,150.6079
2022-12-05,147.0881
2022-12-06,117.1391
2022-12-07,112.3134
2022-12-08,117.2603
2022-12-09,100.8907
2022-12-10,109.0319
2022-12-11,117.3218
2022-12-12,92.388
2022-12-13,75.775
2022-12-14,89.4941
2022-12-15,79.2536
2022-12-16,96.7174
2022-12-17,116.0166
2022-12-18,107.3433
2022-12-19,133.213
2022-12-20,94.3214
2022-12-21,88.1836
2022-12-22,109.6602
2022-12-23,97.6724
2022-12-24,92.5519
2022-12-25,113.7472
2022-12-26,96.2494
2022-12-27,103.351
2022-12-28,91.3854
2022-12-29,99.9831
2022-12-30,115.1411
2022-12-31,102.5162
2023-01-01,110.512
2023-01-02,156.9882
2023-01-03,121.8047
2023-01-04,166.8968
2023-01-05,137.1133
2023-01-06,132.1283
2023-01-07,156.8276
2023-01-08,146.4656
2023-01-09,162.3809
2023-01-10,134.4183
2023-01-11,124.2074
2023-01-12,117.2346
2023-01-13,87.3677
2023-01-14,97.3811
2023-01-15,106.4677
2023-01-16,102.6011
2023-01-17,96.8385
2023-01-18,102.4044
2023-01-19,105.5641
2023-01-20,95.356
2023-01-21,117.9166
2023-01-22,130.4409
2023-01-23,121.8978
2023-01-24,100.9782
2023-01-25,86.1468
2023-01-26,98.0272
2023-01-27,86.8623
2023-01-28,100.4166
2023-01-29,85.7382
2023-01-30,91.0584
2023-01-31,75.6674
2023-02-01,103.0716
2023-02-02,121.0557
2023-02-03,86.1771
2023-02-04,84.6273
2023-02-05,74.4961
2023-02-06,78.4678
2023-02-07,103.8009
2023-02-08,111.0615
2023-02-09,106.251
2023-02-10,81.2693
2023-02-11,89.5641
2023-02-12,116.2814
2023-02-13,85.25
2023-02-14,86.8209
2023-02-15,92.8406
2023-02-16,97.726
2023-02-17,82.7616
2023-02-18,121.4957
2023-02-19,98.6299
2023-02-20,92.4102
2023-02-21,91.2308
2023-02-22,103.6555
2023-02-23,104.647
2023-02-24,77
2023-02-25,105.5203
2023-02-26,98.0745
2023-02-27,95.4697
2023-02-28,91.0923
2023-03-01,89.4721
2023-03-02,95.2398
2023-03-03,69.4879
2023-03-04,84.4717
2023-03-05,129.3403
2023-03-06,96.4017
2023-03-07,165.7355
2023-03-08,120.0771
2023-03-09,117.4928
2023-03-10,94.3306
2023-03-11,129.8697
2023-03-12,155.3178
2023-03-13,109.5068
2023-03-14,96.321
2023-03-15,143.3245
2023-03-16,166.1262
2023-03-17,113.4206
2023-03-18,146.6794
2023-03-19,176.7818
2023-03-20,231.4105
2023-03-21,145.5604
2023-03-22,120.4322
2023-03-23,90.5449
2023-03-24,91.7646
2023-03-25,130.0664
2023-03-26,141.1379
2023-03-27,112.1987
2023-03-28,128.8481
2023-03-29,101.8008
2023-03-30,91.3235
2023-03-31,93.4573
2023-04-01,178.7538
2023-04-02,177.8882
2023-04-03,99.4732
2023-04-04,99.0396
2023-04-05,106.6381
2023-04-06,165.2814
2023-04-07,180.3457
2023-04-08,180.2766
2023-04-09,173.058
2023-04-10,220.0431
2023-04-11,298.9366
2023-04-12,250.2888
2023-04-13,186.1691
2023-04-14,178.2026
2023-04-15,188.819
2023-04-16,251.6573
2023-04-17,237.3904
2023-04-18,365.698
2023-04-19,167.1392
2023-04-20,152.9826
2023-04-21,164.0033
2023-04-22,191.0288
2023-04-23,193.7047
2023-04-24,217.8167
2023-04-25,236.2814
2023-04-26,220.6635
2023-04-27,212.4023
2023-04-28,184.0354
2023-04-29,189.4192
2023-04-30,200.842
2023-05-01,274.0212
2023-05-02,223.7867
2023-05-03,216.8938
2023-05-04,229.1288
2023-05-05,198.2396
2023-05-06,202.8779
2023-05-07,234.7968
2023-05-08,201.071
2023-05-09,218.6379
2023-05-10,201.3158
2023-05-11,169.6117
2023-05-12,174.7634
2023-05-13,177.9787
2023-05-14,199.5951
2023-05-15,208.4105
2023-05-16,192.6406
2023-05-17,142.5994
2023-05-18,152.9849
2023-05-19,128.1768
2023-05-20,122.0223
2023-05-21,124.7326
2023-05-22,148.9091
2023-05-23,151.9026
2023-05-24,143.3216
2023-05-25,137.0494
2023-05-26,127.2214
2023-05-27,175.054
2023-05-28,182.7689
2023-05-29,145.671
2023-05-30,136.5705
2023-05-31,168.0902
2023-06-01,164.9776
2023-06-02,138.5956
2023-06-03,164.7154
2023-06-04,175.5837
2023-06-05,161.5835
2023-06-06,174.2694
2023-06-07,176.4057
2023-06-08,156.7924
2023-06-09,160.5387
2023-06-10,138.1646
2023-06-11,181.3717
2023-06-12,227.1823
2023-06-13,224.6634
2023-06-14,219.0639
2023-06-15,161.1393
2023-06-16,231.9112
2023-06-17,203.3823
2023-06-18,207.9719
2023-06-19,227.7033
2023-06-20,171.108
2023-06-21,145.3455
2023-06-22,181.1993
2023-06-23,132.6712
2023-06-24,130.3508
2023-06-25,175.5232
2023-06-26,124.8033
2023-06-27,124.8398
2023-06-28,149.8386
2023-06-29,179.4004
2023-06-30,198.1636
2023-07-01,198.4184
2023-07-02,194.4699
2023-07-03,199.7627
2023-07-04,200.4233
2023-07-05,232.2487
2023-07-06,214.4578
2023-07-07,225.0573
2023-07-08,197.0936
2023-07-09,218.5213
2023-07-10,215.057
2023-07-11,167.6986
2023-07-12,194.6689
2023-07-13,159.8358
2023-07-14,168.4326
2023-07-15,166.7053
2023-07-16,203.9399
2023-07-17,178.7794
2023-07-18,152.4656
2023-07-19,159.3417
2023-07-20,183.3265
2023-07-21,182.1598
2023-07-22,154.8009
2023-07-23,176.4913
2023-07-24,170.6193
2023-07-25,114.2975
2023-07-26,128.0416
2023-07-27,114.3574
2023-07-28,118.8484
2023-07-29,98.2567
2023-07-30,88.8017
2023-07-31,108.677
2023-08-01,98.4473
2023-08-02,108.433
2023-08-03,98.4558
2023-08-04,103.6516
2023-08-05,118.685
2023-08-06,144.0855
2023-08-07,161.5003
2023-08-08,207.2822
2023-08-09,224.3975
2023-08-10,176.6141
2023-08-11,179.4717
2023-08-12,165.572
2023-08-13,214.271
2023-08-14,173.3437
2023-08-15,150.6713
2023-08-16,124.207
2023-08-17,122.3026
2023-08-18,129.0405
2023-08-19,150.3619
2023-08-20,146.549
2023-08-21,212.2595
2023-08-22,1040.7126
2023-08-23,313.8487
2023-08-24,197.6336
2023-08-25,145.2641
2023-08-26,151.9816
2023-08-27,164.1083
2023-08-28,189.2827
2023-08-29,212.2417
2023-08-30,205.9872
2023-08-31,195.7515
2023-09-01,147.3813
2023-09-02,197.7636
2023-09-03,198.001
2023-09-04,188.5734
2023-09-05,239.4507
2023-09-06,247.0436
2023-09-07,183.3057
2023-09-08,113.292
2023-09-09,143.0015
2023-09-10,143.8382
2023-09-11,142.7005
2023-09-12,146.5525
2023-09-13,118.2339
2023-09-14,116.6527
2023-09-15,99.1239
2023-09-16,108.4473
2023-09-17,141.7752
2023-09-18,106.2547
2023-09-19,118.3596
2023-09-20,115.1499
2023-09-21,102.8211
2023-09-22,109.7425
2023-09-23,119.4895
2023-09-24,133.7775
2023-09-25,135.7578
2023-09-26,176.7364
2023-09-27,173.2418
2023-09-28,156.7358
2023-09-29,191.539
2023-09-30,141.2248
2023-10-01,174.8905
2023-10-02,106.9106
2023-10-03,98.3582
2023-10-04,87.8174
2023-10-05,106.534
2023-10-06,65.0359
2023-10-07,69.7196
2023-10-08,77.9895
2023-10-09,63.0683
2023-10-10,83.9621
2023-10-11,66.7865
2023-10-12,86.8943
2023-10-13,107.1299
2023-10-14,66.9212
2023-10-15,96.1333
2023-10-16,95.2382
2023-10-17,79.9257
2023-10-18,106.4591
2023-10-19,117.9789
2023-10-20,97.7174
2023-10-21,97.359
2023-10-22,145.6686
2023-10-23,147.3373
2023-10-24,150.6633
2023-10-25,126.1277
2023-10-26,158.9746
2023-10-27,145.2063
2023-10-28,157.2963
2023-10-29,170.3241
2023-10-30,182.7108
2023-10-31,179.1718
2023-11-01,146.272
2023-11-02,126.5945
2023-11-03,151.754
2023-11-04,142.5764
2023-11-05,142.5803
2023-11-06,170.9022
2023-11-07,125.0718
2023-11-08,204.9339
2023-11-09,153.2039
2023-11-10,135.5533
2023-11-11,163.405
2023-11-12,169.7071
2023-11-13,173.0892
2023-11-14,124.6245
2023-11-15,145.5941
2023-11-16,232.1862
2023-11-17,163.8312
2023-11-18,189.8534
2023-11-19,234.6763
2023-11-20,246.1881
2023-11-21,243.1423
2023-11-22,275.2066
2023-11-23,313.9764
2023-11-24,310.927
2023-11-25,248.6463
2023-11-26,279.9696
2023-11-27,114.6874
2023-11-28,283.0175
2023-11-29,153.7395
2023-11-30,57.9024
2023-12-01,54.4689
2023-12-02,56.0059
2023-12-03,73.4032
2023-12-04,51.149
2023-12-05,49.698
2023-12-06,124.1373
2023-12-07,44.6976
2023-12-08,55.7547
2023-12-09,33.0942
2023-12-10,47.0667
2023-12-11,42.2285
2023-12-12,50.428
2023-12-13,39.5913
2023-12-14,45.0898
2023-12-15,36.6879
2023-12-16,35.6093
2023-12-17,44.3783
2023-12-18,38.2882
2023-12-19,40.2148
2023-12-20,38.8121
2023-12-21,39.0348
2023-12-22,42.101
2023-12-23,37.731
2023-12-24,18.3104
2023-12-25,27.9631
2023-12-26,37.0049
2023-12-27,37.2897
2023-12-28,36.4729
2023-12-29,42.287
2023-12-30,23.359
2023-12-31,28.0912
2024-01-01,30.7216
2024-01-02,46.2017
2024-01-03,39.7644
2024-01-04,34.0627
2024-01-05,54.1986
2024-01-06,54.0145
2024-01-07,61.0718
2024-01-08,45.3673
2024-01-09,39.5368
2024-01-10,41.8193
2024-01-11,43.7998
2024-01-12,67.9418
2024-01-13,49.8622
2024-01-14,56.1196
2024-01-15,53.7638
2024-01-16,46.03
2024-01-17,70.0989
2024-01-18,66.8606
2024-01-19,55.1651
2024-01-20,61.2092
2024-01-21,50.8298
2024-01-22,65.1889
2024-01-23,50.4287
2024-01-24,75.9673
2024-01-25,64.0317
2024-01-26,87.0596
2024-01-27,70.18
2024-01-28,65.6962
2024-01-29,64.4128
2024-01-30,65.9066
2024-01-31,73.7489
2024-02-01,56.6026
2024-02-02,30.9432
2024-02-03,47.4134
2024-02-04,46.7354
2024-02-05,58.9344
2024-02-06,57.8655
2024-02-07,53.2563
2024-02-08,48.788
2024-02-09,66.5934
2024-02-10,50.6421
2024-02-11,45.4829
2024-02-12,113.2442
2024-02-13,131.712
2024-02-14,133.0489
2024-02-15,118.9089
2024-02-16,105.5702
2024-02-17,125.1514
2024-02-18,103.3965
2024-02-19,72.8669
2024-02-20,63.8897
2024-02-21,85.2572
2024-02-22,68.1758
2024-02-23,64.0821
2024-02-24,85.1355
2024-02-25,97.5961
2024-02-26,80.0374
2024-02-27,64.3278
2024-02-28,48.9653
2024-02-29,67.2158
2024-03-01,53.9455
2024-03-02,73.0831
2024-03-03,61.8297
2024-03-04,66.9188
2024-03-05,79.5054
2024-03-06,72.1839
2024-03-07,78.2625
2024-03-08,71.6673
2024-03-09,60.8872
2024-03-10,67.2784
2024-03-11,56.8483
2024-03-12,50.2313
2024-03-13,51.0393
2024-03-14,55.586
2024-03-15,58.1047
2024-03-16,47.5459
2024-03-17,53.0394
2024-03-18,58.234
2024-03-19,188.1192
2024-03-20,140.1983
2024-03-21,597.789
2024-03-22,97.8388
2024-03-23,93.8573
2024-03-24,76.7633
2024-03-25,65.9124
2024-03-26,79.5135
2024-03-27,59.1824
2024-03-28,99.2144
2024-03-29,104.3773
2024-03-30,90.3827
2024-03-31,82.9522
2024-04-01,71.2261
2024-04-02,85.2251
2024-04-03,82.2923
2024-04-04,85.7978
2024-04-05,54.457
2024-04-06,50.3098
2024-04-07,48.4816
2024-04-08,55.2923
2024-04-09,52.3257
2024-04-10,59.8982
2024-04-11,74.3343
2024-04-12,56.0096
2024-04-13,61.3786
